день,количество_открытий_ACC_45616,количество_открытий_ACC_45614,количество_открытий_ACC_45615,количество_открытий_CMB_18765,количество_открытий_PBI_269188,количество_открытий_LAW_367301,количество_открытий_LAW_368636,количество_открытий_CMB_18937,количество_открытий_CMB_18943,количество_открытий_CMB_18786,количество_открытий_PSP_14,количество_открытий_LAW_358825,количество_открытий_CMB_18811,количество_открытий_PBI_258439,количество_открытий_CMB_18870,количество_открытий_LAW_341893,количество_открытий_CMB_18822,количество_открытий_PBI_258740,количество_открытий_PPN_9,количество_открытий_LAW_358838,количество_открытий_LAW_11916,количество_открытий_LAW_365278,количество_открытий_CMB_18922,количество_открытий_PBI_276596,количество_открытий_PBI_273741,количество_открытий_LAW_361717,количество_открытий_PPN_4,количество_открытий_LAW_351490,количество_открытий_PKV_671,количество_открытий_PSP_7
2020-01-01,1,3,7,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2
2020-01-02,4,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,5,2,2,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-01-04,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0
2020-01-05,4,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-06,7,8,5,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
2020-01-07,6,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-01-08,3,0,4,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-01-09,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-10,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2020-01-11,1,7,2,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,2,4,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-01-14,1,3,1,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-01-15,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,2,6,3,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0
2020-01-18,0,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-19,2,3,3,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0
2020-01-20,2,2,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2020-01-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-01-22,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-01-24,3,6,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020-01-25,6,7,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2020-01-26,3,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-01-27,3,3,6,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0
2020-01-28,1,2,3,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,6,2,3,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,0,1,1,0,1,1
2020-01-30,5,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
2020-01-31,10,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2020-02-01,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,3,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,5,1,0,0,0,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0
2020-02-04,1,6,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,2,3,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0
2020-02-06,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2020-02-07,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
